PlotID,Thinned,Burned,Year,meanVPD_hPa_Dry.Summer,meanVPD_hPa_Fall,meanVPD_hPa_Monsoon.Summer,meanVPD_hPa_Spring,meanVPD_hPa_Winter,SWA_mm_000to150_cm_Dry.Summer,SWA_mm_000to150_cm_Fall,SWA_mm_000to150_cm_Monsoon.Summer,SWA_mm_000to150_cm_Spring,SWA_mm_000to150_cm_Winter
AS_1_1_1,0,0,1980,11.349445968117388,5.500739644414284,12.38323348902161,4.335269654236535,3.09219804240231,52.48056942750626,52.00515862955967,35.49889820905698,53.98450813375259,33.20560189814388
AS_1_1_1,0,0,1981,12.315391373868932,5.370330677139871,10.66007596534407,5.099627478028612,4.023161138247198,40.97273936181637,83.38641394432894,54.32577403996017,112.43382156901876,65.34228706100166
AS_1_1_1,0,0,1982,11.059265431724569,4.81116157988487,10.57744223711857,4.7228715327490125,3.3466575983301805,45.832482132813425,101.19764309205961,75.8448863820822,110.22956155241131,115.67056723861224
AS_1_1_1,0,0,1983,10.84445408751821,4.871756050324688,10.84228630056657,3.9282154151547326,3.1252197943822035,59.49924253854375,109.26017986650129,77.28062037419993,112.80788002689157,123.34761174967501
AS_1_1_1,0,0,1984,12.973779519444138,4.380991345266582,10.40537231152435,6.397632542904358,3.3650873791791516,54.59774779332533,116.75491074793818,80.4690913160823,108.55146484941265,101.10054075937192
AS_1_1_1,0,0,1985,12.221953277365015,4.719685167757219,10.665602149712608,4.943972542695368,2.987238943981035,60.04531176697366,118.20691158625266,57.236806518899584,109.95349347823327,110.15097972890457
AS_1_1_1,0,0,1986,12.637686573959868,4.501892837745551,9.585399579455775,5.5790182640242625,3.7986736445104285,35.29852618436432,116.49989125736202,67.3600418127707,110.658481106059,122.24542341175186
AS_1_1_1,0,0,1987,11.3182026421832,5.265197373319809,10.61891801143085,4.912162842888698,2.8511728084374535,52.22069948712003,102.79510340525599,72.77240794966231,113.35740967227976,123.24958079208574
AS_1_1_1,0,0,1988,12.269272942836523,5.616831107226251,9.108852022660797,6.278303614736776,3.337416353445942,56.83096432372614,84.56941952838329,84.21097160567514,112.75005969921304,114.48231859211548
AS_1_1_1,0,0,1989,14.229568219578821,5.239721688675119,12.330125020300104,7.179708571845863,3.4547830153423074,34.599058638422214,47.03220387341895,37.71450785616705,100.16301172070476,75.62390405152634
AS_1_1_1,0,0,1990,13.834331278292224,5.2075240325313885,9.859404096029287,6.474727411935676,3.4564059543663017,12.776980335763769,111.50132746227801,54.67138718058429,43.32742305448463,37.95378287360004
AS_1_1_1,0,0,1991,10.916477426060677,5.317690336956552,12.22179587731737,4.6737752678183915,3.1861758637047664,42.90372699585421,33.69162214228465,19.369117698811202,112.30092554074272,123.38516010120895
AS_1_1_1,0,0,1992,8.22586004738113,4.995404453922537,9.346134313756469,5.953484900192476,2.9212314791766647,92.89872856458048,91.95285826298871,81.87548170964902,102.5428041948759,77.76043327784068
AS_1_1_1,0,0,1993,13.289264328675834,4.864770947507533,13.69935973556162,5.279434867912236,2.920941583982109,39.85942888431246,84.13761177418455,27.40471292758715,107.64592211201078,102.5986197989451
AS_1_1_1,0,0,1994,14.24181558204296,4.655662616422184,12.220079217490046,5.948277433735579,3.481082906199678,37.831698551924944,113.68629217746155,57.93326858388962,108.26799421556106,107.33373939146914
AS_1_1_1,0,0,1995,11.161619647800393,6.18601691611844,13.730843809293123,4.9541435873458415,3.4929949507945564,40.258970599550565,80.81413423880332,36.60344479290928,109.00071022365806,118.24205270490617
AS_1_1_1,0,0,1996,15.988040204645905,5.110093434454754,11.51464139202954,8.459561425630426,4.244270453033203,9.647245937206204,62.754968308904736,31.410760730376392,65.22482329393696,78.46179715713058
AS_1_1_1,0,0,1997,13.925639172939103,5.294789860865904,12.22957733936668,6.074753809021647,3.217841030563361,40.080611725842104,89.6866590938618,36.331566740097664,103.54004089160216,100.34372672190565
AS_1_1_1,0,0,1998,11.847822786140972,5.514412841297116,13.168043892125766,4.794868121534967,3.2788069908115394,42.10393956476364,44.51541478847626,15.263549106875088,114.1511599362924,124.36466688162248
AS_1_1_1,0,0,1999,12.920425779779771,6.633186709616966,9.765624704836945,7.476471261251073,5.43699839775706,31.133676441756666,93.92662032401033,94.01609672915765,77.77659939391796,84.99274040095311
AS_1_1_1,0,0,2000,15.989129290442047,4.3462736187397955,12.661800891973229,7.8631655373632645,4.888303488268805,19.528853922036443,106.24193044797268,35.61763641426042,79.17488463802842,74.19440203637215
AS_1_1_1,0,0,2001,12.642628058124776,5.970324159861606,10.3513694479282,5.50263101815469,3.3934685324668665,59.96122415385638,41.42109199441286,50.17237934841902,113.02207563376408,116.57337434301024
AS_1_1_1,0,0,2002,16.028627413026992,5.029681529823131,13.10740707472995,8.889488564950659,3.671298734592227,1.6471711363846482,52.40559228261418,34.148099274827835,31.06695430596838,35.912975402699104
AS_1_1_1,0,0,2003,14.647846720728703,5.845860131282611,13.826007864385511,5.36833437980534,3.6304377685292297,33.766736607817485,104.3676008502297,71.3265772648393,110.70413202588331,83.46139521843688
AS_1_1_1,0,0,2004,13.599618134175566,4.645529355976269,13.1661074400068,5.896354240400536,3.288603769988656,43.3480501144648,32.93018744676242,15.423950113534564,109.6399680428533,105.3410579248631
AS_1_1_1,0,0,2005,12.023596043558719,5.7933620364194445,13.314667778528285,4.742712073533022,3.296089949281283,55.49332194940988,70.9840684113784,48.1145448315674,115.00567465575847,73.92421062810028
AS_1_1_1,0,0,2006,15.577404645127988,5.152153314461858,10.899815673330616,7.033003465372394,5.2668865378256084,21.19948207421168,111.41016127587639,81.51546260804362,67.37859447119588,61.677166545161796
AS_1_1_1,0,0,2007,15.512974689901233,6.125295335733921,11.722322249609725,7.500942465401794,3.157715743911554,24.94915717398198,85.91947342671867,84.80446728488168,92.23325958403213,105.19380648939236
AS_1_1_1,0,0,2008,14.734006231815783,5.626948493895158,10.408334815508882,5.679919671026945,3.008735871779223,45.03032911825014,94.9371606474051,65.09049434713957,102.96724806726384,122.20931154635826
AS_1_1_1,0,0,2009,14.166010145768857,5.612768786002331,14.446963961082737,6.79010264346972,3.480779201871693,33.57973707909411,15.822984020974236,8.22070717168481,103.72358453036294,120.34965514162099
AS_1_1_1,0,0,2010,12.670819992090687,5.334203984419647,11.152906144748625,4.659006669498652,2.8606515381753748,53.431840840049425,81.7234529368493,86.3796010986027,63.06360266082143,26.901565701995203
AS_1_1_1,0,0,2011,14.512844796759818,5.206373811886362,11.572724958666617,8.24104359622732,3.5838648258280505,32.85388539328648,89.91640516495303,51.21496773182717,95.20138371585999,78.90060123648317
AS_1_1_1,0,0,2012,16.295295844617105,6.419584918597348,12.27641817501941,8.466917929800507,3.400053644956836,28.134149295860635,49.341465137058826,47.7493913706695,101.33865155320136,100.30028525903778
AS_1_1_1,0,0,2013,15.637261007823156,4.95102758543061,10.519297958168773,6.293761223660122,3.2213573530029196,31.782697770546243,96.78782724497036,82.6308128513818,91.78445265424595,61.211358126306315
AS_1_1_1,0,0,2014,15.05351933924379,5.701025546548728,11.053006415165278,7.343854934157984,3.9284451400156004,26.436795729675218,118.56677235065482,69.55293735754896,101.11127972522988,115.09696854103784
AS_1_1_1,0,0,2015,11.653872994614833,5.023249881698936,9.062431553353571,6.250239444133685,3.7183129064334555,73.81915533895659,121.66744453360496,108.25046495649931,104.30730822406663,122.33111606777655
AS_1_1_1,0,0,2016,12.951738149814423,5.923215738063171,10.620315501870179,6.993851325847078,3.5989796326222643,67.15648295061908,107.2911338885407,63.74682752097338,106.61851056997091,123.66041507047224
AS_1_1_1,0,0,2017,14.726361170928895,7.00229485240264,11.290877155031648,6.168066758347093,3.861850795454917,38.640894384855656,78.2055395568748,76.97314617792493,112.31353992417945,124.12574098857529
AS_1_1_1,0,0,2018,15.722724791836798,4.518532008564409,10.958944449174485,6.382607819564512,4.551112579943066,32.985418473237864,117.43037933198272,99.4707450352837,110.87597272102428,80.36754967891066
AS_1_1_1,0,0,2019,11.13456925793135,5.4683759883255485,13.732233014123223,5.245592528939441,3.0069962730897415,43.053694056893725,45.86407008273867,23.300649567753506,105.58799756006417,117.9737375520929
AS_1_1_1,0,0,2020,15.298053122711975,6.880333124561912,16.78039974763795,5.758712049586661,3.3323366680162256,32.444675579125736,27.786607624386857,9.843045532505986,107.82871679075903,103.40139709507474
