"","Nest_ID","Fate_cat","Year_located","Project_ID","Transect_ID2","Trt_cat","Nest_Ht","cosOrientation","Init_day","Tree_sp","Trees_2550","Trees_50","pPIPO","a1000_areacv2","a1000_contag","a1000_np1","a1000_Ha","a1000_RxBu","maxTmax_C","meanTmax_C","maxPpt_mm","meanPpt_mm","exposure","prevStage"
"68","EMMAOR_NCLIFFC2-04A_2017","success",2017,"EMMAOR","EMMAOR_CLIFFC2","U",1.5,-0.615661475325658,146,"JUOC",66.6666666666667,5,0.2,354.7430115,14.7630997,40,0,0,30.32200050354,28.0765830675761,1.39100003242493,0.425027787685394,47,"N"
"69","EMMAOR_NCLIFFC2-06A_2019","success",2019,"EMMAOR","EMMAOR_CLIFFC2","U",1.8,0.819152044288992,144,"PIPO",50,10,0.363636363636364,294.4200134,21.0785999,37,0,0,25.2290000915527,21.0058570589338,1.0789999961853,0.188714285780277,46,"N"
"70","EMMAOR_NCLIFFC2-07A_2015","success",2015,"EMMAOR","EMMAOR_CLIFFC2","U",1.9,0.275637355816999,145,"POTR5",41.6666666666667,7.5,0.8,145.1950073,30.8743992,21,0,0,34.4280014038086,26.8910223007202,0.690999984741211,0.0274333328008652,46,"N"
"71","EMMAOR_NCLIFFC2-08A_2019","success",2019,"EMMAOR","EMMAOR_CLIFFC2","U",1.1,-0.325568154457157,139,"JUOC",108.333333333333,10,0.764705882352941,137.5169983,31.7686005,17,0,0,24.943000793457,21.4895717075893,0.977999985218048,0.198857140860387,45,"N"
"72","EMMAOR_NCLIFFC2-10A_2017","success",2017,"EMMAOR","EMMAOR_CLIFFC2","U",2.9,0.913545457642601,141,"PIPO",25,2.5,0.8,663.5059814,10.5855999,54,0,0,31.2709999084473,27.9057143075126,0,0,45,"N"
"73","EMMAOR_NCUBT1-10A_2016","failure",2016,"EMMAOR","EMMAOR_CUBT1","B",1.5,-0.961261695938319,150,"PIPO",91.6666666666667,2.5,1,254.3359985,40.260601,36,18.6271992,100,28.94700050354,17.869926592509,7.91099977493286,0.959633324543635,40,"N"
"74","EMMAOR_NCUBT2-02A_2016","failure",2016,"EMMAOR","EMMAOR_CUBT2","HB",2.5,-0.529919264233205,158,"PIPO",100,10,0.5625,321.8429871,16.0660992,85,40.3931007,69.9620972,30.4349994659424,26.1622222582499,0,0,32,"N"
"75","EMMAOR_NCUBT2-02A_2021","failure",2021,"EMMAOR","EMMAOR_CUBT2","HB",0.95,0.970295726275996,NA,"PIPO",58.3333333333333,27.5,0.888888888888889,301.1149902,18.573,99,43.1212006,49.9029007,35.3488006591797,28.0772823193176,3.28129982948303,0.142658159062858,27,"N"
"76","EMMAOR_NCUBT2-03A_2015","failure",2015,"EMMAOR","EMMAOR_CUBT2","HB",1.7,-0.866025403784439,NA,"PIPO",66.6666666666667,0,0.75,347.32901,15.7995996,90,41.4491005,76.1625977,34.1749992370605,27.943208246004,2.08100008964539,0.0773333356538344,31,"N"
"77","EMMAOR_NCUBT2-08A_2019","success",2019,"EMMAOR","EMMAOR_CUBT2","HB",2.2,-0.848048096156426,144,"PIPO",16.6666666666667,7.5,1,252.5319977,21.6002998,64,39.0437012,82.4522018,26.746000289917,20.187343776226,2.91000008583069,0.382468749769032,46,"N"
"78","EMMAOR_NCUBT2-10A_2015","failure",2015,"EMMAOR","EMMAOR_CUBT2","B",3.5,6.12323399573677e-17,NA,"PIPO",75,0,1,265.8160095,29.0720997,44,11.9682999,78.0850983,34.0379981994629,32.2126885732015,0.00999999977648258,0.00166666662941376,8,"N"
"79","EMMAOR_NCUBT2-10A_2016","failure",2016,"EMMAOR","EMMAOR_CUBT2","B",1.5,0.342020143325669,159,"PIPO",8.33333333333333,5,0.666666666666667,307.9989929,29.5515995,42,3.1094201,68.1669006,30.4349994659424,24.4190666913986,5.48000001907349,0.493149998784065,35,"N"
"80","EMMAOR_NCUBT2-10A_2017","success",2017,"EMMAOR","EMMAOR_CUBT2","HB",1.7,-0.819152044288992,147,"PIPO",91.6666666666667,7.5,1,272.0169983,25.0401993,47,37.5182991,66.0279007,33.7309989929199,26.5762749263218,2.57399988174438,0.25865356570908,46,"N"
"81","EMMAOR_NCUBT2-10A_2021","failure",2021,"EMMAOR","EMMAOR_CUBT2","HB",2.55,-0.939692620785908,NA,"PIPO",16.6666666666667,7.5,1,269.1730042,24.0918007,47,38.3983994,62.2210999,35.3488006591797,23.9683339636883,5.38679981231689,0.485087515106277,38,"N"
"82","EMMAOR_NDUGC1-01A_2015","success",2015,"EMMAOR","EMMAOR_DUGC1","U",1.5,0.573576436351046,146,"JUOC",58.3333333333333,5,0,503.1539917,48.7545013,32,0,0.009549,34.3619995117188,25.5676983564963,1.10099995136261,0.184209521895363,49,"N"
"83","EMMAOR_NDUGC1-01A_2016","success",2016,"EMMAOR","EMMAOR_DUGC1","U",2.7,-0.20791169081776,143,"JUOC",41.6666666666667,10,0.1,503.1539917,48.7545013,32,0,0.009549,31.3719997406006,24.9299156273736,3.96499991416931,0.343916663726171,45,"N"
"84","EMMAOR_NDUGC1-01A_2017","success",2017,"EMMAOR","EMMAOR_DUGC1","U",1.8,0.838670567945424,138,"JUOC",41.6666666666667,15,0,566.2919922,46.8091011,33,0,0,31.2320003509521,24.9191666285197,2.98200011253357,0.698366687695185,46,"N"
"85","EMMAOR_NDUGC1-05A_2017","success",2017,"EMMAOR","EMMAOR_DUGC1","U",2.4,-0.529919264233205,147,"JUOC",50,5,0,295.6589966,46.0049019,50,6.8348498,6.9675698,31.2320003509521,25.5410555097792,2.98200011253357,0.46557779179679,47,"N"
"86","EMMAOR_NDUGC1-06A_2017","failure",2017,"EMMAOR","94","U",2.75,0.309016994374947,139,"JUOC",83.3333333333333,30,0.826086956521739,313.9710083,16.4123001,76,7.9202099,9.0810699,27.5979995727539,20.2242152782587,4.07100009918213,0.751976931095123,32,"N"
"87","EMMAOR_NDUGC1-06B_2017","success",2017,"EMMAOR","95","HB",2.5,0.529919264233205,139,"PIPO",0,7.5,1,467.4129944,19.9724007,49,51.7159996,51.5643997,31.2320003509521,25.5410555097792,2.98200011253357,0.46557779179679,45,"N"
"88","EMMAOR_NDUGC1-10A_2016","success",2016,"EMMAOR","EMMAOR_DUGC1","U",1.3,0.529919264233205,163,"JUOC",8.33333333333333,7.5,0.2,383.2600098,24.7199001,45,0.234673,0.296018,30.548999786377,23.6611954511158,3.11800003051758,0.435148815979205,44,"N"
"89","EMMAOR_NELKT1-05A_2015","success",2015,"EMMAOR","EMMAOR_ELKT1","U",1.4,-0.882947592858927,148,"PIPO",100,12.5,0.5,445.7489929,28.7222004,49,0,0,33.5940017700195,26.9540566830408,1.3400000333786,0.0922083350874129,47,"N"
"90","EMMAOR_NELKT2-01A_2021","failure",2021,"EMMAOR","EMMAOR_ELKT2","H",3,0.241921895599668,NA,"POTR5",33.3333333333333,0,0,577.3800049,10.0077,70,68.0550995,0.257822,33.1016998291016,30.6990369955699,0.68259996175766,0.0243785700627736,19,"I"
"91","EMMAOR_NELKT2-02A_2015","success",2015,"EMMAOR","EMMAOR_ELKT2","U",5.6,-0.17364817766693,151,"PIPO",50,2.5,1,567.9609985,10.6805,48,0,0,33.8240013122559,29.9682700596158,0.578000009059906,0.100240739407363,44,"N"
"92","EMMAOR_NELKT2-02A_2021","failure",2021,"EMMAOR","EMMAOR_ELKT2","H",1.6,-0.719339800338651,NA,"PIPO",33.3333333333333,2.5,1,565.0209961,11.5177002,45,49.4572983,0.623866,34.2777976989746,30.6192276725521,1.91279995441437,0.0439484841895826,25,"N"
"93","EMMAOR_NELKT2-04A_2016","success",2016,"EMMAOR","103","H",0.7,-0.891006524188368,148,"PIPO",25,27.5,1,252.4019928,35.2736015,22,72.2499008,5.5193,29.9209995269775,23.0900370103342,3.6010000705719,0.544277774480482,45,"N"
"94","EMMAOR_NELKT2-04A_2017","success",2017,"EMMAOR","104","HB",0.7,-0.891006524188368,141,"PIPO",25,27.5,1,252.4019928,35.2736015,22,72.2499008,84.848999,32.1839981079102,23.6317642080262,5.33400011062622,0.666953704782322,53,"N"
"95","EMMAOR_NELKT2-05A_2019","success",2019,"EMMAOR","EMMAOR_ELKT2","H",1.1,0.656059028990507,145,"PIPO",25,10,1,235.2929993,18.6474991,20,55.4415016,0,24.42799949646,18.2598424333515,1.44400000572205,0.112545455043966,45,"N"
"96","EMMAOR_NELKT2-06A_2015","success",2015,"EMMAOR","EMMAOR_ELKT2","U",2.2,0.866025403784439,143,"JUOC",83.3333333333333,5,0.75,185.0449982,15.9097996,13,0,0,33.8240013122559,27.0393212182181,1.41999995708466,0.07135714164802,45,"N"
"97","EMMAOR_NELKT2-06A_2017","success",2017,"EMMAOR","EMMAOR_ELKT2","U",2,-0.848048096156426,137,"PIPO",83.3333333333333,0,1,187.576004,16.7395,13,0,0,30.7670001983643,22.646089390346,4.66800022125244,0.956861919732321,47,"N"
"98","EMMAOR_NELKT2-07A_2021","failure",2021,"EMMAOR","EMMAOR_ELKT2","H",1.3,-0.342020143325669,NA,"POTR5",8.33333333333333,2.5,0.5,213.246994,26.3602009,15,50.3372993,0,33.9519996643066,31.3693801334926,0.628600001335144,0.0299333333969116,8,"N"
"99","EMMAOR_NELKT2-10A_2019","success",2019,"EMMAOR","EMMAOR_ELKT2","H",3,0.121869343405148,149,"POTR5",25,0,0,385.7600098,11.7405996,39,21.3845997,0,27.5769996643066,19.9129556655884,1.31500005722046,0.073288889726003,44,"N"
"100","EMMAOR_NELKT3-01A_2017","success",2017,"EMMAOR","EMMAOR_ELKT3","HB",7.7,-0.64278760968654,146,"PIPO",58.3333333333333,35,0.714285714285714,412.3649902,11.6908998,49,22.1473007,20.0559998,29.2250003814697,22.9197322572981,5.03700017929077,0.522680962813042,48,"N"
"101","EMMAOR_NELKT3-03A_2019","failure",2019,"EMMAOR","EMMAOR_ELKT3","B",2.3,0.190808995376545,159,"PIPO",116.666666666667,25,0.541666666666667,451.5820007,9.0253401,66,15.0776997,54.6296997,21.6860008239746,18.8102504412333,0.800000011920929,0.281083337108915,23,"N"
"102","EMMAOR_NELKT3-08A_2021","failure",2021,"EMMAOR","EMMAOR_ELKT3","H",2.8,0.258819045102521,NA,"PIPO",0,47.5,0.894736842105263,458.7030029,27.5021,62,68.2312012,0,33.2924995422363,30.2336090496608,0.518899977207184,0.014825713634491,17,"N"
"103","EMMAOR_NFLAGC1-02A_2015","success",2015,"EMMAOR","EMMAOR_FLAGC1","U",1.8,-0.939692620785908,150,"PIPO",66.6666666666667,20,0.4375,361.1860046,25.9759007,38,0,0,33.5320014953613,29.1750400331285,0.907999992370606,0.120658729757581,45,"N"
"104","EMMAOR_NFLAGC1-05A_2015","failure",2015,"EMMAOR","EMMAOR_FLAGC1","U",4,-0.819152044288992,158,"JUOC",41.6666666666667,7.5,0.3,427.0480042,33.6544991,32,0,0,33.5320014953613,27.1967056498808,0.907999992370606,0.190764704171349,24,"I"
"105","EMMAOR_NFLAGC1-05A_2019","success",2019,"EMMAOR","EMMAOR_FLAGC1","U",3.4,0.987688340595138,150,"JUOC",16.6666666666667,10,0.125,414.7470093,35.1188011,33,0.205339,0,29.5779991149902,22.3005715757053,8.88000011444092,0.435593829337161,50,"N"
"106","EMMAOR_NFLAGC1-06A_2016","success",2016,"EMMAOR","EMMAOR_FLAGC1","U",1.7,-0.241921895599668,156,"JUOC",25,17.5,0.2,375.6650085,44.4337997,30,0,0,28.2229995727539,21.2696666793218,2.83699989318848,0.911083324561043,46,"N"
"107","EMMAOR_NFLAGC1-06A_2017","success",2017,"EMMAOR","EMMAOR_FLAGC1","U",4.2,0.939692620785908,145,"JUOC",58.3333333333333,20,0.4,374.7479858,43.5993004,30,0,0,30.6520004272461,21.4541944424311,4.40899991989136,0.843094422419866,49,"N"
