"","Nest_ID","Year_located","Julian_start","Julian_end","UTM_datum_zone","UTM_N","UTM_E"
"64","EMFWOR_NCAMC4-01A_2018",2018,"190","193","NAD83 10N",4670801.226,730466.081
"65","EMFWOR_NCAMC4-01A_2018",2018,"193","197","NAD83 10N",4670801.226,730466.081
"66","EMFWOR_NCAMC4-01A_2020",2020,NA,"162","NAD83 10N",4670730,730397
"67","EMFWOR_NCAMC4-01A_2020",2020,"162","168","NAD83 10N",4670730,730397
"68","EMFWOR_NCAMC4-01A_2020",2020,"168","174","NAD83 10N",4670730,730397
"69","EMFWOR_NCAMC4-07A_2016",2016,NA,"182","NAD83 10N",4672241.124,731297.83
"70","EMFWOR_NCAMC4-07A_2016",2016,"182","187","NAD83 10N",4672241.124,731297.83
"71","EMFWOR_NCAMC4-07A_2016",2016,"187","189","NAD83 10N",4672241.124,731297.83
"72","EMFWOR_NCAMC4-07A_2016",2016,"189","190","NAD83 10N",4672241.124,731297.83
"73","EMFWOR_NCAMC4-07A_2016",2016,"190","193","NAD83 10N",4672241.124,731297.83
"74","EMFWOR_NCAMC4-07A_2018",2018,NA,"165","NAD83 10N",4672312.908,731201.49
"75","EMFWOR_NCAMC4-07A_2018",2018,"165","171","NAD83 10N",4672312.908,731201.49
"76","EMFWOR_NCAMC4-07A_2018",2018,"171","177","NAD83 10N",4672312.908,731201.49
"77","EMFWOR_NCAMC4-07A_2018",2018,"177","183","NAD83 10N",4672312.908,731201.49
"78","EMFWOR_NCAMC4-07A_2018",2018,"183","186","NAD83 10N",4672312.908,731201.49
"79","EMFWOR_NCAMC4-07A_2019",2019,NA,"155","NAD83 10N",4672499.492,731273.206
"80","EMFWOR_NCAMC4-07A_2019",2019,"155","157","NAD83 10N",4672499.492,731273.206
"81","EMFWOR_NCAMC4-07A_2019",2019,"157","161","NAD83 10N",4672499.492,731273.206
"82","EMFWOR_NCAMC4-07A_2019",2019,"161","164","NAD83 10N",4672499.492,731273.206
"83","EMFWOR_NCAMC4-07A_2019",2019,"164","168","NAD83 10N",4672499.492,731273.206
"84","EMFWOR_NCAMC4-07A_2019",2019,"168","171","NAD83 10N",4672499.492,731273.206
"85","EMFWOR_NCAMC4-07A_2019",2019,"171","175","NAD83 10N",4672499.492,731273.206
"86","EMFWOR_NCAMC4-07A_2019",2019,"175","178","NAD83 10N",4672499.492,731273.206
"87","EMFWOR_NCAMC4-07A_2019",2019,"178","182","NAD83 10N",4672499.492,731273.206
"88","EMFWOR_NCAMC4-07A_2019",2019,"182","186","NAD83 10N",4672499.492,731273.206
"89","EMFWOR_NCAMC4-07A_2019",2019,"186","189","NAD83 10N",4672499.492,731273.206
"90","EMFWOR_NCAMC4-07A_2019",2019,"189","192","NAD83 10N",4672499.492,731273.206
"91","EMFWOR_NCAMC4-09A_2020",2020,NA,"147","NAD83 10N",4672899,731999
"92","EMFWOR_NCAMC4-09A_2020",2020,"147","157","NAD83 10N",4672899,731999
"93","EMFWOR_NCAMC4-09A_2020",2020,"157","162","NAD83 10N",4672899,731999
"94","EMFWOR_NCAMC4-09A_2020",2020,"162","168","NAD83 10N",4672899,731999
"95","EMFWOR_NCAMC4-10A_2016",2016,NA,"181","NAD83 10N",4672535.133,732175.477
"96","EMFWOR_NCAMC4-10A_2016",2016,"181","187","NAD83 10N",4672535.133,732175.477
"97","EMFWOR_NCAMC4-10A_2016",2016,"187","189","NAD83 10N",4672535.133,732175.477
"98","EMFWOR_NCAMC4-10A_2016",2016,"189","190","NAD83 10N",4672535.133,732175.477
"99","EMFWOR_NCAMC4-10A_2016",2016,"190","193","NAD83 10N",4672535.133,732175.477
"100","EMFWOR_NCAMC4-10A_2016",2016,"193","195","NAD83 10N",4672535.133,732175.477
"101","EMFWOR_NCAMC4-10A_2017",2017,NA,"191","NAD83 10N",4672859.957,732027.551
"102","EMFWOR_NCAMC4-10A_2018",2018,NA,"178","NAD83 10N",4672999.402,732060.31
"103","EMFWOR_NCAMC4-10A_2018",2018,"178","179","NAD83 10N",4672999.402,732060.31
"104","EMFWOR_NCAMC4-10A_2018",2018,"179","183","NAD83 10N",4672999.402,732060.31
"105","EMFWOR_NCAMC4-10A_2018",2018,"183","184","NAD83 10N",4672999.402,732060.31
"106","EMFWOR_NCAMC4-10B_2018",2018,NA,"131","NAD83 10N",4672536.684,732577.857
"107","EMFWOR_NCAMC4-10B_2018",2018,"131","144","NAD83 10N",4672536.684,732577.857
"108","EMFWOR_NCAMC4-10B_2018",2018,"144","149","NAD83 10N",4672536.684,732577.857
"109","EMFWOR_NCAMC4-10B_2018",2018,"149","152","NAD83 10N",4672536.684,732577.857
"110","EMFWOR_NCAMC4-10B_2018",2018,"152","155","NAD83 10N",4672536.684,732577.857
"111","EMFWOR_NCAMC4-10B_2018",2018,"155","158","NAD83 10N",4672536.684,732577.857
"112","EMFWOR_NCAMC4-10B_2018",2018,"158","162","NAD83 10N",4672536.684,732577.857
"113","EMFWOR_NCAMC4-10B_2018",2018,"162","171","NAD83 10N",4672536.684,732577.857
"114","EMFWOR_NCAMC4-10B_2018",2018,"171","176","NAD83 10N",4672536.684,732577.857
"115","EMFWOR_NCAMC4-10B_2018",2018,"176","183","NAD83 10N",4672536.684,732577.857
"116","EMFWOR_NCAMC4-10B_2018",2018,"183","186","NAD83 10N",4672536.684,732577.857
"117","EMFWOR_NCAMC5-01A_2015",2015,NA,"155","NAD83 10N",4673698.091,731236.877
"118","EMFWOR_NCAMC5-01A_2015",2015,"155","169","NAD83 10N",4673698.091,731236.877
"119","EMFWOR_NCAMC5-01A_2015",2015,"169","174","NAD83 10N",4673698.091,731236.877
"120","EMFWOR_NCAMC5-01A_2015",2015,"174","182","NAD83 10N",4673698.091,731236.877
"121","EMFWOR_NCAMC5-01A_2015",2015,"182","189","NAD83 10N",4673698.091,731236.877
"122","EMFWOR_NCAMC5-01A_2015",2015,"189","190","NAD83 10N",4673698.091,731236.877
"123","EMFWOR_NCAMC5-01A_2015",2015,"190","195","NAD83 10N",4673698.091,731236.877
"124","EMFWOR_NCAMC5-01A_2017",2017,NA,"146","NAD83 10N",4673696.147,731257.358
"125","EMFWOR_NCAMC5-01A_2017",2017,"146","151","NAD83 10N",4673696.147,731257.358
"126","EMFWOR_NCAMC5-01A_2017",2017,"151","154","NAD83 10N",4673696.147,731257.358
"127","EMFWOR_NCAMC5-01A_2017",2017,"154","159","NAD83 10N",4673696.147,731257.358
"128","EMFWOR_NCAMC5-01A_2017",2017,"159","164","NAD83 10N",4673696.147,731257.358
"129","EMFWOR_NCAMC5-01A_2017",2017,"164","172","NAD83 10N",4673696.147,731257.358
"130","EMFWOR_NCAMC5-01A_2017",2017,"172","175","NAD83 10N",4673696.147,731257.358
"131","EMFWOR_NCAMC5-01A_2018",2018,NA,"128","NAD83 10N",4673678.932,731242.445
"132","EMFWOR_NCAMC5-01A_2018",2018,"128","141","NAD83 10N",4673678.932,731242.445
"133","EMFWOR_NCAMC5-01A_2018",2018,"141","149","NAD83 10N",4673678.932,731242.445
"134","EMFWOR_NCAMC5-01A_2018",2018,"149","152","NAD83 10N",4673678.932,731242.445
"135","EMFWOR_NCAMC5-01A_2018",2018,"152","155","NAD83 10N",4673678.932,731242.445
"136","EMFWOR_NCAMC5-01A_2018",2018,"155","158","NAD83 10N",4673678.932,731242.445
"137","EMFWOR_NCAMC5-01A_2018",2018,"158","162","NAD83 10N",4673678.932,731242.445
"138","EMFWOR_NCAMC5-01A_2018",2018,"162","169","NAD83 10N",4673678.932,731242.445
"139","EMFWOR_NCAMC5-01A_2018",2018,"169","176","NAD83 10N",4673678.932,731242.445
"140","EMFWOR_NCAMC5-01A_2018",2018,"176","183","NAD83 10N",4673678.932,731242.445
"141","EMFWOR_NCAMC5-01A_2018",2018,"183","186","NAD83 10N",4673678.932,731242.445
"142","EMFWOR_NCAMC5-01A_2020",2020,NA,"154","NAD83 10N",4673876,731252
"143","EMFWOR_NCAMC5-01A_2020",2020,"154","155","NAD83 10N",4673876,731252
"144","EMFWOR_NCAMC5-01A_2020",2020,"155","161","NAD83 10N",4673876,731252
"145","EMFWOR_NCAMC5-01A_2020",2020,"161","162","NAD83 10N",4673876,731252
"146","EMFWOR_NCAMC5-01A_2020",2020,"162","171","NAD83 10N",4673876,731252
"147","EMFWOR_NCAMC5-01A_2020",2020,"171","175","NAD83 10N",4673876,731252
"148","EMFWOR_NCAMC5-01A_2020",2020,"175","181","NAD83 10N",4673876,731252
"149","EMFWOR_NCAMC5-01A_2020",2020,"181","183","NAD83 10N",4673876,731252
"150","EMFWOR_NCAMC5-01A_2020",2020,"183","184","NAD83 10N",4673876,731252
"151","EMFWOR_NCAMC7-06A_2015",2015,NA,"149","NAD83 10N",4676247.396,730509.493
"152","EMFWOR_NCAMC7-06A_2015",2015,"149","167","NAD83 10N",4676247.396,730509.493
"153","EMFWOR_NCAMC7-06A_2015",2015,"167","170","NAD83 10N",4676247.396,730509.493
"154","EMFWOR_NCAMC7-06A_2015",2015,"170","174","NAD83 10N",4676247.396,730509.493
"155","EMFWOR_NCAMC7-06A_2015",2015,"174","182","NAD83 10N",4676247.396,730509.493
"156","EMFWOR_NCAMC7-06A_2015",2015,"182","189","NAD83 10N",4676247.396,730509.493
"157","EMFWOR_NCAMC7-06A_2015",2015,"189","190","NAD83 10N",4676247.396,730509.493
"158","EMFWOR_NCAMC7-06A_2015",2015,"190","195","NAD83 10N",4676247.396,730509.493
"159","EMFWOR_NCAMC7-06A_2015",2015,"195","203","NAD83 10N",4676247.396,730509.493
"160","EMFWOR_NCAMC7-06A_2018",2018,NA,"165","NAD83 10N",4676215.028,730511.661
"161","EMFWOR_NCAMC7-06A_2018",2018,"165","169","NAD83 10N",4676215.028,730511.661
"162","EMFWOR_NCAMC7-06A_2018",2018,"169","177","NAD83 10N",4676215.028,730511.661
"163","EMFWOR_NCAMC7-06A_2018",2018,"177","183","NAD83 10N",4676215.028,730511.661
"164","EMFWOR_NCAMC7-06A_2018",2018,"183","190","NAD83 10N",4676215.028,730511.661
"165","EMFWOR_NCAMC7-06A_2018",2018,"190","191","NAD83 10N",4676215.028,730511.661
"166","EMFWOR_NCAMC7-06A_2020",2020,NA,"177","NAD83 10N",4676306,730512
"167","EMFWOR_NCAMC7-06A_2020",2020,"177","182","NAD83 10N",4676306,730512
"168","EMFWOR_NCAMC7-06A_2020",2020,"182","184","NAD83 10N",4676306,730512
"169","EMFWOR_NCAMC7-06A_2020",2020,"184","188","NAD83 10N",4676306,730512
"170","EMFWOR_NCAMC8-06A_2016",2016,NA,"180","NAD83 10N",4674072.146,730136.1
"171","EMFWOR_NCAMC8-06A_2016",2016,"180","183","NAD83 10N",4674072.146,730136.1
"172","EMFWOR_NCAMC8-06A_2016",2016,"183","187","NAD83 10N",4674072.146,730136.1
"173","EMFWOR_NCAMC8-06A_2016",2016,"187","190","NAD83 10N",4674072.146,730136.1
"174","EMFWOR_NCAMC8-06A_2016",2016,"190","193","NAD83 10N",4674072.146,730136.1
"175","EMFWOR_NCAMC8-06A_2016",2016,"193","195","NAD83 10N",4674072.146,730136.1
"176","EMFWOR_NCAMC8-06A_2016",2016,"195","197","NAD83 10N",4674072.146,730136.1
"177","EMFWOR_NCAMC8-06A_2016",2016,"197","200","NAD83 10N",4674072.146,730136.1
"178","EMFWOR_NCAMC8-07A_2017",2017,NA,"151","NAD83 10N",4674257.705,730403.539
"179","EMFWOR_NCAMC8-07A_2017",2017,"151","154","NAD83 10N",4674257.705,730403.539
"180","EMFWOR_NCAMC8-07A_2017",2017,"154","157","NAD83 10N",4674257.705,730403.539
