Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC3-08A_2020,2020,175,181,NAD83 10N,30.524999618530273,25.95985698699951,0.42100000381469727,0.0601428576878139
EMFWOR_NCAMC3-08A_2020,2020,181,183,NAD83 10N,19.79599952697754,16.53166611989339,0.42100000381469727,0.14033333460489908
EMFWOR_NCAMC3-08A_2020,2020,183,189,NAD83 10N,25.518999099731445,22.685142517089844,0,0
EMFWOR_NCAMC3-08A_2020,2020,189,191,NAD83 10N,25.518999099731445,23.648333231608074,0,0
EMFWOR_NCAMC3-08A_2020,2020,191,195,NAD83 10N,28.167999267578125,26.17259979248047,0,0
EMFWOR_NCAMC4-01A_2018,2018,178,178,NAD83 10N,24.048999786376953,24.048999786376953,0,0
EMFWOR_NCAMC4-01A_2018,2018,178,179,NAD83 10N,24.604999542236328,24.32699966430664,0,0
EMFWOR_NCAMC4-01A_2018,2018,179,183,NAD83 10N,24.604999542236328,21.85540008544922,0,0
EMFWOR_NCAMC4-01A_2018,2018,183,186,NAD83 10N,24.565000534057617,22.37249994277954,0,0
EMFWOR_NCAMC4-01A_2018,2018,186,190,NAD83 10N,26.14900016784668,23.936599731445313,0,0
EMFWOR_NCAMC4-01A_2018,2018,190,193,NAD83 10N,27.45400047302246,26.04325008392334,0,0
EMFWOR_NCAMC4-01A_2018,2018,193,197,NAD83 10N,29.393999099731445,28.015999603271485,6.169000148773193,1.2338000297546388
EMFWOR_NCAMC4-01A_2020,2020,162,162,NAD83 10N,18.148000717163086,18.148000717163086,0,0
EMFWOR_NCAMC4-01A_2020,2020,162,168,NAD83 10N,22.007999420166016,15.991142886025566,11.208999633789063,4.131285667419434
EMFWOR_NCAMC4-01A_2020,2020,168,174,NAD83 10N,23.67099952697754,17.405000277927943,6.921999931335449,1.3725714342934745
EMFWOR_NCAMC4-07A_2016,2016,182,182,NAD83 10N,26.791000366210938,26.791000366210938,0,0
EMFWOR_NCAMC4-07A_2016,2016,182,187,NAD83 10N,27.42799949645996,25.80649979909261,0,0
EMFWOR_NCAMC4-07A_2016,2016,187,189,NAD83 10N,23.176000595092773,21.865999857584637,0,0
EMFWOR_NCAMC4-07A_2016,2016,189,190,NAD83 10N,23.459999084472656,22.30299949645996,0,0
EMFWOR_NCAMC4-07A_2016,2016,190,193,NAD83 10N,23.459999084472656,17.503999710083008,6.659999847412109,1.8039999604225159
EMFWOR_NCAMC4-07A_2018,2018,165,165,NAD83 10N,22.51799964904785,22.51799964904785,0,0
EMFWOR_NCAMC4-07A_2018,2018,165,171,NAD83 10N,22.51799964904785,16.599142619541713,8.326000213623047,1.7295714430510998
EMFWOR_NCAMC4-07A_2018,2018,171,177,NAD83 10N,25.940000534057617,22.73871421813965,0,0
EMFWOR_NCAMC4-07A_2018,2018,177,183,NAD83 10N,24.604999542236328,22.48457145690918,0,0
EMFWOR_NCAMC4-07A_2018,2018,183,186,NAD83 10N,24.565000534057617,22.37249994277954,0,0
EMFWOR_NCAMC4-07A_2019,2019,155,155,NAD83 10N,22.006999969482422,22.006999969482422,0,0
EMFWOR_NCAMC4-07A_2019,2019,155,157,NAD83 10N,22.583999633789063,22.16433334350586,0,0
EMFWOR_NCAMC4-07A_2019,2019,157,161,NAD83 10N,22.583999633789063,15.01520004272461,0.5680000185966492,0.11360000371932984
EMFWOR_NCAMC4-07A_2019,2019,161,164,NAD83 10N,26.375999450683594,23.841999530792236,0,0
EMFWOR_NCAMC4-07A_2019,2019,164,168,NAD83 10N,26.375999450683594,23.699200057983397,0,0
EMFWOR_NCAMC4-07A_2019,2019,168,171,NAD83 10N,23.985000610351563,22.737249851226807,0,0
EMFWOR_NCAMC4-07A_2019,2019,171,175,NAD83 10N,20.74799919128418,17.092599868774414,0,0
EMFWOR_NCAMC4-07A_2019,2019,175,178,NAD83 10N,20.069000244140625,18.079500198364258,0,0
EMFWOR_NCAMC4-07A_2019,2019,178,182,NAD83 10N,21.516000747680664,17.777600479125976,0,0
EMFWOR_NCAMC4-07A_2019,2019,182,186,NAD83 10N,21.516000747680664,19.718000411987305,0,0
EMFWOR_NCAMC4-07A_2019,2019,186,189,NAD83 10N,23.91699981689453,22.13350009918213,0,0
EMFWOR_NCAMC4-07A_2019,2019,189,192,NAD83 10N,23.327999114990234,22.230499744415283,0,0
EMFWOR_NCAMC4-09A_2020,2020,147,147,NAD83 10N,21.601999282836914,21.601999282836914,0,0
EMFWOR_NCAMC4-09A_2020,2020,147,157,NAD83 10N,26.913000106811523,21.591818289323285,0.8410000205039978,0.07645454731854526
EMFWOR_NCAMC4-09A_2020,2020,157,162,NAD83 10N,22.45599937438965,14.819000085194906,3.562000036239624,1.3348333239555359
EMFWOR_NCAMC4-09A_2020,2020,162,168,NAD83 10N,22.007999420166016,15.991142886025566,11.208999633789063,4.131285667419434
EMFWOR_NCAMC4-10A_2016,2016,181,181,NAD83 10N,27.48699951171875,27.48699951171875,0,0
EMFWOR_NCAMC4-10A_2016,2016,181,187,NAD83 10N,27.48699951171875,26.04657118661063,0,0
EMFWOR_NCAMC4-10A_2016,2016,187,189,NAD83 10N,23.176000595092773,21.865999857584637,0,0
EMFWOR_NCAMC4-10A_2016,2016,189,190,NAD83 10N,23.459999084472656,22.30299949645996,0,0
EMFWOR_NCAMC4-10A_2016,2016,190,193,NAD83 10N,23.459999084472656,17.503999710083008,6.659999847412109,1.8039999604225159
