"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","Sea surface temp",-0.107445221805901,-0.0711600416892123,-0.0523503422331524,-0.0334624526752642,0.00251944069964493,"Model2_IntervalData"
"2","Wave power",-0.294272482453419,-0.260453836180694,-0.242675317004218,-0.224915222150848,-0.190785891064082,"Model2_IntervalData"
"3","Stipe number",0.25322879786495,0.310258048043061,0.340356989952046,0.371163972332419,0.430967667586996,"Model2_IntervalData"
"4","Holdfast diameter",-0.0321924585312366,0.0124103149396608,0.0358361190274257,0.0595357685293778,0.105241165139071,"Model2_IntervalData"
"5","Plant depth",0.034068323935823,0.0742946804769936,0.095359153352853,0.116249383324369,0.15612239640725,"Model2_IntervalData"
"6","Substrate = boulder",-0.350951962460955,-0.145184597910597,-0.0337216255927711,0.0818259870424211,0.310911306594254,"Model2_IntervalData"
"7","Substrate = cobble",-0.597912797082779,-0.339417810707781,-0.197249253656887,-0.0489731517453784,0.249833195124293,"Model2_IntervalData"
"8","Substrate = sand",-0.132989301282131,-0.0336448993135344,0.0193188607602183,0.0726978305735271,0.176328342536873,"Model2_IntervalData"
"9","Substrate = shallow sand",-0.0278267276914426,0.0749892377592201,0.129320453366198,0.184295208208324,0.290206122850283,"Model2_IntervalData"
