"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","Sea surface temp",-1.94081719708697,-1.80946882298627,-1.74062142531534,-1.67414597656455,-1.54957134436788,"Model3_CustomProb"
"2","Wave power",-3.06695863355234,-2.94803006424083,-2.88009177649245,-2.80858930849604,-2.66163549155968,"Model3_CustomProb"
"3","Stipe number",0.0483640848530238,0.120522357063195,0.161074531164572,0.203153863875554,0.288736159015851,"Model3_CustomProb"
"4","Holdfast diameter",0.00853270010498413,0.0827184235736829,0.125867260958538,0.170005840753567,0.255797575592828,"Model3_CustomProb"
"5","Plant depth",-0.219869278631752,-0.145546539664578,-0.110077391759114,-0.0773323373850031,-0.0133087768026796,"Model3_CustomProb"
"6","Substrate = boulder",-0.419975932178131,-0.0407530414642766,0.221022975027539,0.497149499782718,1.02549675579265,"Model3_CustomProb"
"7","Substrate = cobble",-0.651762008501223,-0.321245851193121,-0.111758899766445,0.136955835476582,0.653868300910554,"Model3_CustomProb"
"8","Substrate = sand",-0.397838363894735,-0.213306227118438,-0.123673349677226,-0.041999863630239,0.114671245325584,"Model3_CustomProb"
"9","Substrate = shallow sand",-0.334915784927737,-0.149600931956003,-0.0510061517709978,0.0562445533815905,0.272950173356181,"Model3_CustomProb"
