"","zvalue","Mean","p","p_cat","direction","p_dir","Model"
"1","Substrate:Boulder",0.714720538720539,0.285279461279461,"ns","positive",NA,"Model3_CustomProb"
"2","Substrate:Cobble",0.376707070707071,0.376707070707071,"ns","negative",NA,"Model3_CustomProb"
"3","Substrate:Sand",0.150434343434343,0.150434343434343,"ns","negative",NA,"Model3_CustomProb"
"4","Substrate:ShallowSand",0.371380471380471,0.371380471380471,"ns","negative",NA,"Model3_CustomProb"
"5","SST",0,0,"s","negative",0,"Model3_CustomProb"
"6","WavePower",0,0,"s","negative",0,"Model3_CustomProb"
"7","StipeNum",0.997720538720539,0.00227946127946133,"s","positive",0.00227946127946133,"Model3_CustomProb"
"8","HoldfastDiam",0.982653198653199,0.0173468013468013,"s","positive",0.0173468013468013,"Model3_CustomProb"
"9","Depth",0.0135218855218855,0.0135218855218855,"s","negative",-0.0135218855218855,"Model3_CustomProb"
